PLAYER,NATIONALITY,TYPE,TEAM,PRICE PAID
Daryl Mitchell,Overseas,All-Rounder,Chennai Super Kings,140000000
Sameer Rizvi,Indian,Batter,Chennai Super Kings,84000000
Shardul Thakur,Indian,All-Rounder,Chennai Super Kings,40000000
Mustafizur Rahman,Overseas,Bowler,Chennai Super Kings,20000000
Rachin Ravindra,Overseas,All-Rounder,Chennai Super Kings,18000000
Avanish Rao Aravelly,Indian,Wicket-Keeper,Chennai Super Kings,2000000
Kumar Kushagra,Indian,Wicket-Keeper,Delhi Capitals,72000000
Jhye Richardson,Overseas,Bowler,Delhi Capitals,50000000
Harry Brook,Overseas,Batter,Delhi Capitals,40000000
Sumit Kumar,Indian,All-Rounder,Delhi Capitals,10000000
Shai Hope,Overseas,Wicket-Keeper,Delhi Capitals,7500000
Tristan Stubbs,Overseas,Wicket-Keeper,Delhi Capitals,5000000
Ricky Bhui,Indian,Wicket-Keeper,Delhi Capitals,2000000
Swastik Chhikara,Indian,Batter,Delhi Capitals,2000000
Rasikh Dar,Indian,Bowler,Delhi Capitals,2000000
Spencer Johnson,Overseas,Bowler,Gujarat Titans,100000000
Shahrukh Khan,Indian,All-Rounder,Gujarat Titans,74000000
Umesh Yadav,Indian,Bowler,Gujarat Titans,58000000
Robin Minz,Indian,Wicket-Keeper,Gujarat Titans,36000000
Sushant Mishra,Indian,Bowler,Gujarat Titans,22000000
Kartik Tyagi,Indian,Bowler,Gujarat Titans,6000000
Azmatullah Omarzai,Overseas,All-Rounder,Gujarat Titans,5000000
Manav Suthar,Indian,Bowler,Gujarat Titans,2000000
Mitchell Starc,Overseas,Bowler,Kolkata Knight Riders,247500000
Mujeeb Rahman,Overseas,Bowler,Kolkata Knight Riders,20000000
Sherfane Rutherford,Overseas,Batter,Kolkata Knight Riders,15000000
Gus Atkinson,Overseas,Bowler,Kolkata Knight Riders,10000000
Manish Pandey,Indian,Batter,Kolkata Knight Riders,5000000
K.S. Bharat,Indian,Wicket-Keeper,Kolkata Knight Riders,5000000
Chetan Sakariya,Indian,Bowler,Kolkata Knight Riders,5000000
Angkrish Raghuvanshi,Indian,Batter,Kolkata Knight Riders,2000000
Ramandeep Singh,Indian,All-Rounder,Kolkata Knight Riders,2000000
Sakib Hussain,Indian,Bowler,Kolkata Knight Riders,2000000
Shivam Mavi,Indian,Bowler,Lucknow Super Giants,64000000
M. Siddharth,Indian,Bowler,Lucknow Super Giants,24000000
David Willey,Overseas,All-Rounder,Lucknow Super Giants,20000000
Ashton Turner,Overseas,Batter,Lucknow Super Giants,10000000
Arshin Kulkarni,Indian,All-Rounder,Lucknow Super Giants,2000000
Mohd. Arshad Khan,Indian,All-Rounder,Lucknow Super Giants,2000000
Gerald Coetzee,Overseas,All-Rounder,Mumbai Indians,50000000
Nuwan Thushara,Overseas,Bowler,Mumbai Indians,48000000
Dilshan Madushanka,Overseas,Bowler,Mumbai Indians,46000000
Mohammad Nabi,Overseas,All-Rounder,Mumbai Indians,15000000
Shreyas Gopal,Indian,Bowler,Mumbai Indians,2000000
Shivalik Sharma,Indian,All-Rounder,Mumbai Indians,2000000
Anshul Kamboj,Indian,All-Rounder,Mumbai Indians,2000000
Naman Dhir,Indian,All-Rounder,Mumbai Indians,2000000
Harshal Patel,Indian,All-Rounder,Punjab Kings,117500000
Rilee Rossouw,Overseas,Batter,Punjab Kings,80000000
Chris Woakes,Overseas,All-Rounder,Punjab Kings,42000000
Tanay Thyagarajann,Indian,All-Rounder,Punjab Kings,2000000
Vishwanath Pratap Singh,Indian,All-Rounder,Punjab Kings,2000000
Ashutosh Sharma,Indian,All-Rounder,Punjab Kings,2000000
Shashank Singh,Indian,Batter,Punjab Kings,2000000
Prince Choudhary,Indian,Bowler,Punjab Kings,2000000
Rovman Powell,Overseas,Batter,Rajasthan Royals,74000000
Shubham Dubey,Indian,Batter,Rajasthan Royals,58000000
Nandre Burger,Overseas,Bowler,Rajasthan Royals,5000000
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,Rajasthan Royals,4000000
Abid Mushtaq,Indian,All-Rounder,Rajasthan Royals,2000000
Alzarri Joseph,Overseas,Bowler,Royal Challengers Bengaluru,115000000
Yash Dayal,Indian,Bowler,Royal Challengers Bengaluru,50000000
Lockie Ferguson,Overseas,Bowler,Royal Challengers Bengaluru,20000000
Tom Curran,Overseas,All-Rounder,Royal Challengers Bengaluru,15000000
Saurav Chuahan,Indian,Batter,Royal Challengers Bengaluru,2000000
Swapnil Singh,Indian,All-Rounder,Royal Challengers Bengaluru,2000000
Pat Cummins,Overseas,All-Rounder,Sunrisers Hyderabad,205000000
Travis Head,Overseas,Batter,Sunrisers Hyderabad,68000000
Jaydev Unadkat,Indian,Bowler,Sunrisers Hyderabad,16000000
Wanindu Hasaranga,Overseas,All-Rounder,Sunrisers Hyderabad,15000000
Jhathavedh Subramanyan,Indian,Bowler,Sunrisers Hyderabad,2000000
Akash Singh,Indian,Bowler,Sunrisers Hyderabad,2000000
